epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,247.291,1.07407,1.32078,1.23357,0.99025,0.98982,0.99425,0.77949,0.86318,0.64009,1.17633,0.00332667,0.00332667,0.00332667
2,468.211,0.91305,0.65437,1.11404,0.99277,0.99191,0.99452,0.78722,0.82356,0.45693,1.1454,0.00659407,0.00659407,0.00659407
3,681.263,0.92652,0.5605,1.12434,0.98552,0.98491,0.9935,0.79973,0.83234,0.43819,1.16101,0.00979547,0.00979547,0.00979547
4,894.309,0.92007,0.50691,1.12222,0.9922,0.98839,0.99439,0.81981,0.79866,0.39139,1.12866,0.009703,0.009703,0.009703
5,1107.34,0.87895,0.45446,1.09696,0.98685,0.98416,0.99337,0.81651,0.79047,0.38113,1.12211,0.009604,0.009604,0.009604
6,1320.01,0.85564,0.43185,1.08474,0.9942,0.99343,0.9947,0.83405,0.75351,0.34079,1.09844,0.009505,0.009505,0.009505
7,1534.81,0.83207,0.4093,1.06775,0.99398,0.99498,0.99467,0.8442,0.72661,0.3328,1.07395,0.009406,0.009406,0.009406
8,1749.17,0.82153,0.39914,1.06497,0.99638,0.99547,0.99486,0.85001,0.71621,0.31206,1.0659,0.009307,0.009307,0.009307
9,1964.16,0.8085,0.3887,1.05896,0.99572,0.99618,0.99483,0.84585,0.70681,0.31334,1.05924,0.009208,0.009208,0.009208
10,2177.68,0.79853,0.37973,1.05404,0.99558,0.99549,0.9948,0.84809,0.726,0.3076,1.0712,0.009109,0.009109,0.009109
11,2390.31,0.79127,0.37117,1.04631,0.99726,0.99675,0.99484,0.85886,0.69712,0.28935,1.04952,0.00901,0.00901,0.00901
12,2603.69,0.78021,0.36421,1.03964,0.99717,0.99641,0.99491,0.86032,0.68544,0.28801,1.04051,0.008911,0.008911,0.008911
13,2817.28,0.77619,0.35982,1.03857,0.99731,0.99749,0.99488,0.86562,0.68163,0.28179,1.03892,0.008812,0.008812,0.008812
14,3032.23,0.76903,0.35488,1.03425,0.99744,0.9971,0.99491,0.86647,0.67063,0.2773,1.03038,0.008713,0.008713,0.008713
15,3246.09,0.76963,0.3552,1.0309,0.99702,0.99717,0.99486,0.86698,0.67298,0.28295,1.03341,0.008614,0.008614,0.008614
16,3458.26,0.76205,0.35063,1.03001,0.99772,0.99714,0.99491,0.86896,0.66525,0.26867,1.02765,0.008515,0.008515,0.008515
17,3673.4,0.76007,0.34858,1.02964,0.99732,0.99766,0.99493,0.87122,0.65411,0.26746,1.01892,0.008416,0.008416,0.008416
18,3886.56,0.75678,0.34376,1.02278,0.99828,0.99741,0.99492,0.87254,0.65544,0.26365,1.02123,0.008317,0.008317,0.008317
19,4098.54,0.75499,0.34213,1.02243,0.99832,0.99745,0.99493,0.87528,0.64714,0.26064,1.01209,0.008218,0.008218,0.008218
20,4311.43,0.74624,0.33725,1.02217,0.99771,0.9981,0.99492,0.87691,0.64077,0.25609,1.00867,0.008119,0.008119,0.008119
21,4524.1,0.74291,0.33495,1.01667,0.99822,0.998,0.99493,0.87419,0.64565,0.25919,1.01137,0.00802,0.00802,0.00802
22,4736.31,0.74038,0.33346,1.01762,0.99811,0.99774,0.99494,0.8793,0.63398,0.25112,1.00447,0.007921,0.007921,0.007921
23,4947.65,0.74232,0.33411,1.01615,0.99814,0.9981,0.99492,0.87803,0.63353,0.25362,1.00507,0.007822,0.007822,0.007822
24,5158.95,0.73645,0.33034,1.01333,0.99823,0.99818,0.99493,0.87958,0.62801,0.24852,0.99995,0.007723,0.007723,0.007723
25,5371.43,0.73727,0.32957,1.01242,0.99829,0.99804,0.99494,0.88145,0.62548,0.24516,0.99869,0.007624,0.007624,0.007624
26,5584.74,0.7344,0.32924,1.01194,0.99825,0.99807,0.99493,0.88002,0.6286,0.24533,0.99967,0.007525,0.007525,0.007525
27,5798.6,0.72928,0.32539,1.01134,0.99819,0.99815,0.99495,0.88299,0.61923,0.24271,0.99449,0.007426,0.007426,0.007426
28,6011.9,0.72908,0.32448,1.01132,0.99837,0.99829,0.99495,0.88353,0.61828,0.2407,0.99311,0.007327,0.007327,0.007327
29,6224.85,0.72583,0.32401,1.01126,0.99865,0.9983,0.99495,0.88452,0.615,0.24008,0.99141,0.007228,0.007228,0.007228
30,6437.75,0.7217,0.32097,1.00986,0.99856,0.99836,0.99492,0.88406,0.6137,0.23721,0.99034,0.007129,0.007129,0.007129
31,6650.09,0.72311,0.31986,1.00957,0.9988,0.99846,0.99495,0.88474,0.60936,0.23721,0.98728,0.00703,0.00703,0.00703
32,6862.77,0.72237,0.31798,1.00682,0.99849,0.99832,0.99493,0.88552,0.60819,0.23528,0.98665,0.006931,0.006931,0.006931
33,7075.74,0.71805,0.31605,1.00618,0.9985,0.99836,0.99495,0.88732,0.6048,0.23288,0.98435,0.006832,0.006832,0.006832
34,7293.95,0.71321,0.31353,1.00085,0.9988,0.99848,0.99495,0.88654,0.60558,0.23144,0.98372,0.006733,0.006733,0.006733
35,7530.02,0.71645,0.31347,1.00372,0.99848,0.99858,0.99495,0.88846,0.60061,0.23106,0.98108,0.006634,0.006634,0.006634
36,7749.53,0.71408,0.3145,1.0037,0.99873,0.99847,0.99494,0.88802,0.60122,0.23175,0.98123,0.006535,0.006535,0.006535
37,7974.87,0.71227,0.31191,1.00395,0.99873,0.99864,0.99495,0.88891,0.59846,0.22947,0.97955,0.006436,0.006436,0.006436
38,8203.76,0.70969,0.30971,0.99772,0.99871,0.99844,0.99495,0.88935,0.59676,0.22824,0.97834,0.006337,0.006337,0.006337
39,8426.03,0.70776,0.30837,1.00075,0.99858,0.99877,0.99495,0.88917,0.59549,0.22636,0.97728,0.006238,0.006238,0.006238
40,8646.75,0.7047,0.30622,0.9971,0.99874,0.99865,0.99494,0.8895,0.59344,0.22643,0.97584,0.006139,0.006139,0.006139
41,8866.74,0.70966,0.31005,1.0016,0.99866,0.99876,0.99495,0.89003,0.59038,0.2249,0.97408,0.00604,0.00604,0.00604
42,9088.66,0.7059,0.30805,0.99762,0.99869,0.99878,0.99496,0.89074,0.58998,0.22436,0.97374,0.005941,0.005941,0.005941
